Author_name,#Followers,Author Following,Account Created,Verified,Location,Text,Length,likes,Language,Retweets,Time
amazonIN,2066593,70,2013-03-20 10:40:49,True,India,"@Saurabh18906658 Also, please don’t provide your order details as we consider them to be personal information. Our Twitter page is visible to public. 2/2

-Shaaf","[0, 161]",0,en,0,2021-04-19 07:47:37
sumits016,3,83,2017-02-25 04:10:27,False,,"@amazonIN @AmazonHelp Hi team, this is regarding an order-407-6681757-9850718 in which your support team is not helping or delivering my order
I ordered a laptop and today-19/04/2021 while delivering the order your delivery partner refused to exchange my old product","[0, 266]",0,en,0,2021-04-19 07:46:19
MoneycontrolH,9090,9,2019-08-06 10:37:19,False,Noida,"#AmazonfutureCase में सुप्रीम कोर्ट ने दिल्ली हाई कोर्ट में चल रही एमेजॉन और फ्यूचर ग्रुप के सभी मामलों की सुनवाई पर स्टे लगा दिया है। सुप्रीम कोर्ट अब इस मामले की सुनवाई 4 मई को करेगा... #SupremeCourt  @amazon  @amazonIN   @future_care 

https://t.co/OQJhLkquTd https://t.co/eRkj51OmkD","[0, 262]",1,hi,0,2021-04-19 07:45:42
hetvi_hetu,28,119,2015-03-12 05:49:22,False,,"My favourite feature definitely has to 1000 Hz instant touch. 😍😍

@IqooInd @amazonIN       #IQOO7series https://t.co/iq8mqRM1Tg","[0, 103]",0,en,0,2021-04-19 07:43:50
tyagi2ankur,1170,716,2009-10-05 03:17:57,False,"गाज़ियाबाद, भारत","RT @tyagi2ankur: buy tv ORDER #40874619266201163,supposed to delivered on 9Apl agent deny to deliver at home &amp; threaten to cancel the order…","[0, 144]",0,en,4,2021-04-19 07:43:44
technosdsujit,4,76,2020-02-26 14:39:05,False,"Rajarbag, Udaipur, Tripura","RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,2021-04-19 07:42:50
Bhagwat0708,1,101,2021-02-13 18:56:49,False,"Jaipur, India",@AmazonHelp @amazon #donttrustAmazon  @AmazonHelp @amazonIN my damaged order picked up 3 days before and I still not get my new replacement product.. thank you for your pathetic services and corporations... which you are providing😡😡😡😡😡😡😡😡😡😡😡👎👎👎👎👎👎👎👎👎👎 don't trust Amazon https://t.co/ygsWYrofBN,"[12, 270]",0,en,0,2021-04-19 07:42:41
varunlachhwani,8,35,2013-05-09 10:22:47,False,,"@amazonIN @AmazonHelp Please have a look at the issue and try to get my product delivered today, I have high hopes as you have always lived up to the standards and I expect the same this time around 😄","[0, 200]",0,en,0,2021-04-19 07:42:23
Sanjay_Pinto,9814,534,2011-05-24 18:31:00,True,"Chennai, India","@prabhud19 @BlueDart_ @BlueDartCares @amazonIN Pls scroll down a bit, Prabhu. Had an awful experience recently.","[47, 111]",0,en,0,2021-04-19 07:40:37
FortuneIndia,7543,351,2014-12-17 05:03:24,True,National Capital Region,"At the Amazon Smbhav summit, the @Infosys co-founder said that the country’s small businesses are the engines of #growth and job creation. https://t.co/0zPfqtEh8I 

@amazonIN #amazonsmbhav @NandanNilekani https://t.co/EqBbe09VRj","[0, 204]",1,en,0,2021-04-19 07:39:42
